State,County,Latitude ,Longitude ,Date,Time,Crime,Occurences
WY,Albany,41.293265,-105.590699,23-Feb-19,11:00am-11:59am,Assault,1
WY,Albany,41.293265,-105.590699,24-Feb-19,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,26-Feb-19,10:00am-10:59am,Assault,1
WY,Albany,41.293265,-105.590699,1-Mar-19,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,4-Mar-19,3:00pm-3:59pm,Assault,1
WY,Albany,41.293265,-105.590699,7-Mar-19,7:00am-7:59am,Assault,1
WY,Albany,41.293265,-105.590699,10-Mar-19,3:00pm-3:59pm,Assault,1
WY,Albany,41.293265,-105.590699,13-Mar-19,12:00am-12:59am,Assault,1
WY,Albany,41.293265,-105.590699,13-Mar-19,8:00am-8:59am,Assault,1
WY,Albany,41.293265,-105.590699,14-Mar-19,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,14-Mar-19,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,17-Mar-19,11:00am-11:59am,Assault,1
WY,Albany,41.293265,-105.590699,21-Mar-19,3:00am-3:59am,Assault,1
WY,Albany,41.293265,-105.590699,24-Mar-19,12:00am-12:59am,Assault,1
WY,Albany,41.293265,-105.590699,28-Mar-19,9:00am-9:59am,Assault,1
WY,Albany,41.293265,-105.590699,30-Mar-19,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,1-Apr-19,9:00am-9:59am,Assault,1
WY,Albany,41.293265,-105.590699,14-Apr-19,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,17-Apr-19,12:00n-12:59pm,Assault,1
WY,Albany,41.293265,-105.590699,18-Apr-19,5:00am-5:59am,Assault,1
WY,Albany,41.293265,-105.590699,19-Apr-19,10:00am-10:59am,Assault,1
WY,Albany,41.293265,-105.590699,21-Apr-19,9:00pm-9:59pm,Assault,1
WY,Albany,41.293265,-105.590699,23-Apr-19,4:00am-4:59am,Assault,1
WY,Albany,41.293265,-105.590699,23-Apr-19,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,24-Apr-19,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,26-Apr-19,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,28-Apr-19,9:00pm-9:59pm,Assault,1
WY,Albany,41.293265,-105.590699,29-Apr-19,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,3-May-19,6:00am-6:59am,Assault,1
WY,Albany,41.293265,-105.590699,5-May-19,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,7-May-19,9:00am-9:59am,Assault,1
WY,Albany,41.293265,-105.590699,11-May-19,11:00am-11:59am,Assault,1
